t,d01_err,d02_err,d12_err,o_error,o_error_deg
3.96,0.4181,0.7142,0.8000,1.1181,29.74
3.98,0.4181,0.7142,0.8000,1.1181,29.74
4.00,0.4181,0.7142,0.8000,1.1181,29.74
4.02,0.4181,0.7142,0.8000,1.1181,29.74
4.04,0.4181,0.7142,0.8000,1.1181,29.74
4.06,0.4181,0.7142,0.8000,1.1181,29.74
4.08,0.4181,0.7142,0.8000,1.1181,29.74
4.10,0.4181,0.7142,0.8000,1.1181,29.74
4.12,0.4181,0.7142,0.8000,1.1181,29.74
4.14,0.4181,0.7142,0.8000,1.1181,29.74
4.16,0.4181,0.7142,0.8000,1.1181,29.74
4.18,0.4181,0.7142,0.8000,1.1181,29.74
4.20,0.4181,0.7142,0.8000,1.1181,29.74
4.22,0.4181,0.7142,0.8000,1.1181,29.74
4.24,0.4181,0.7142,0.8000,1.1181,29.74
4.26,0.4181,0.7142,0.8000,1.1181,29.74
4.28,0.4181,0.7142,0.8000,1.1181,29.74
4.30,0.4181,0.7142,0.8000,1.1181,29.74
4.32,0.4181,0.7142,0.8000,1.1181,29.74
4.34,0.4181,0.7142,0.8000,1.1181,29.74
4.36,0.4181,0.7142,0.8000,1.1181,29.74
4.38,0.4181,0.7142,0.8000,1.1181,29.74
4.40,0.4181,0.7142,0.8000,1.1181,29.74
4.42,0.4181,0.7142,0.8000,1.1181,29.74
4.44,0.4181,0.7142,0.8000,1.1181,29.74
4.46,0.4181,0.7142,0.8000,1.1181,29.74
4.48,0.4181,0.7142,0.8000,1.1181,29.74
4.50,0.4181,0.7142,0.8000,1.1181,29.74
4.52,0.4181,0.7142,0.8000,1.1181,29.74
4.54,0.4181,0.7142,0.8000,1.1181,29.74
4.56,0.4181,0.7142,0.8000,1.1181,29.74
4.58,0.4181,0.7142,0.8000,1.1181,29.74
4.60,0.4181,0.7142,0.8000,1.1181,29.74
4.62,0.4181,0.7142,0.8000,1.1181,29.74
4.64,0.4181,0.7142,0.8000,1.1181,29.74
4.66,0.4181,0.7142,0.8000,1.1181,29.74
4.68,0.4181,0.7142,0.8000,1.1181,29.74
4.70,0.4181,0.7142,0.8000,1.1181,29.74
4.72,0.4181,0.7142,0.8000,1.1181,29.74
4.74,0.4181,0.7142,0.8000,1.1181,29.74
4.76,0.4181,0.7142,0.8000,1.1181,29.74
4.78,0.4181,0.7142,0.8000,1.1181,29.74
4.80,0.4181,0.7142,0.8000,1.1181,29.74
4.82,0.4181,0.7142,0.8000,1.1181,29.74
4.84,0.4181,0.7142,0.8000,1.1181,29.74
4.86,0.4181,0.7142,0.8000,1.1181,29.74
4.88,0.4181,0.7142,0.8000,1.1181,29.74
4.90,0.4181,0.7142,0.8000,1.1181,29.74
4.92,0.4181,0.7142,0.8000,1.1181,29.74
4.94,0.4181,0.7142,0.8000,1.1181,29.74
4.96,0.4181,0.7142,0.8000,1.1181,29.74
4.98,0.4181,0.7142,0.8000,1.1181,29.74
5.00,0.4181,0.7142,0.8000,1.1181,29.74
5.02,0.4181,0.7142,0.8000,0.5832,26.57
5.04,0.4181,0.7142,0.8000,0.5832,26.57
5.06,0.4181,0.7142,0.8000,0.5832,26.57
5.08,0.4181,0.7142,0.8000,0.5832,26.57
5.10,0.4181,0.7142,0.8000,0.5832,26.57
5.12,0.4181,0.7142,0.8000,0.5832,26.57
5.14,0.4181,0.7141,0.8001,0.5832,26.57
5.16,0.4181,0.7138,0.8002,0.5832,26.57
5.18,0.4177,0.7139,0.8002,0.5829,26.58
5.20,0.4177,0.7139,0.8002,0.5829,26.58
5.22,0.4177,0.7140,0.8002,0.5829,26.57
5.24,0.4177,0.7126,0.8001,0.5829,26.57
5.26,0.4165,0.7093,0.7993,0.5822,26.60
5.28,0.4140,0.7094,0.7988,0.5805,26.64
5.30,0.4140,0.7094,0.7988,0.5805,26.64
5.32,0.4145,0.7097,0.7988,0.5807,26.63
5.34,0.4145,0.7047,0.7972,0.5807,26.63
5.36,0.4099,0.6980,0.7944,0.5777,26.70
5.38,0.4039,0.6989,0.7929,0.5732,26.75
5.40,0.4039,0.6989,0.7929,0.5732,26.75
5.42,0.4056,0.7001,0.7929,0.5742,26.72
5.44,0.4056,0.6912,0.7901,0.5742,26.72
5.46,0.3968,0.6912,0.7880,0.5680,26.82
5.48,0.3883,0.6822,0.7811,0.5616,26.87
5.50,0.3883,0.6822,0.7811,0.5616,26.87
5.52,0.3913,0.6848,0.7811,0.5631,26.78
5.54,0.3913,0.6721,0.7764,0.5631,26.78
5.56,0.3786,0.6580,0.7672,0.5539,26.91
5.58,0.3683,0.6612,0.7632,0.5460,26.96
5.60,0.3683,0.6612,0.7632,0.5460,26.96
5.62,0.3732,0.6650,0.7632,0.5485,26.82
5.64,0.3732,0.6492,0.7568,0.5485,26.82
5.66,0.3577,0.6318,0.7447,0.5377,26.98
5.68,0.3463,0.6363,0.7393,0.5284,26.97
5.70,0.3463,0.6363,0.7393,0.5284,26.97
5.72,0.3526,0.6411,0.7393,0.5317,26.80
5.74,0.3526,0.6227,0.7309,0.5317,26.80
5.76,0.3345,0.6033,0.7154,0.5188,26.95
5.78,0.3221,0.6086,0.7084,0.5081,26.87
5.80,0.3221,0.6086,0.7084,0.5081,26.87
5.82,0.3292,0.6140,0.7084,0.5116,26.67
5.84,0.3292,0.5935,0.6980,0.5116,26.67
5.86,0.3091,0.5720,0.6791,0.4971,26.78
5.88,0.2956,0.5778,0.6706,0.4852,26.64
5.90,0.2956,0.5778,0.6706,0.4852,26.64
5.92,0.3034,0.5838,0.6706,0.4886,26.42
5.94,0.3034,0.5619,0.6589,0.4886,26.42
5.96,0.2817,0.5387,0.6363,0.4728,26.48
5.98,0.2671,0.5450,0.6272,0.4598,26.29
6.00,0.2671,0.5450,0.6272,0.4598,26.29
6.02,0.2752,0.5514,0.6272,0.4630,26.05
6.04,0.2752,0.5276,0.6127,0.4630,26.05
6.06,0.2527,0.5036,0.5886,0.4473,26.12
6.08,0.2382,0.5102,0.5798,0.4351,25.96
6.10,0.2382,0.5102,0.5798,0.4351,25.96
