t,d01_err,d02_err,d12_err,o_error,o_error_deg
4.42,1.0004,0.7809,0.7117,1.7004,28.23
4.44,1.0004,0.7809,0.7117,1.7004,28.23
4.46,1.0004,0.7809,0.7117,1.7004,28.23
4.48,1.0004,0.7809,0.7117,1.7004,28.23
4.50,1.0004,0.7809,0.7117,1.7004,28.23
4.52,1.0004,0.7809,0.7117,1.7004,28.23
4.54,1.0004,0.7809,0.7117,1.7004,28.23
4.56,1.0004,0.7809,0.7117,1.7004,28.23
4.58,1.0004,0.7809,0.7117,1.7004,28.23
4.60,1.0004,0.7809,0.7117,1.7004,28.23
4.62,1.0004,0.7809,0.7117,1.7004,28.23
4.64,1.0004,0.7809,0.7117,1.7004,28.23
4.66,1.0004,0.7809,0.7117,1.7004,28.23
4.68,1.0004,0.7809,0.7117,1.7004,28.23
4.70,1.0004,0.7809,0.7117,1.7004,28.23
4.72,1.0004,0.7809,0.7117,1.7004,28.23
4.74,1.0004,0.7809,0.7117,1.7004,28.23
4.76,1.0004,0.7809,0.7117,1.7004,28.23
4.78,1.0004,0.7809,0.7117,1.7004,28.23
4.80,1.0004,0.7809,0.7117,1.7004,28.23
4.82,1.0004,0.7809,0.7117,1.7004,28.23
4.84,1.0004,0.7809,0.7117,1.7004,28.23
4.86,1.0004,0.7809,0.7117,1.7004,28.23
4.88,1.0004,0.7809,0.7117,1.7004,28.23
4.90,1.0004,0.7809,0.7117,1.7004,28.23
4.92,1.0004,0.7809,0.7117,1.7004,28.23
4.94,1.0004,0.7809,0.7117,1.7004,28.23
4.96,1.0004,0.7809,0.7117,1.7004,28.23
4.98,1.0004,0.7809,0.7117,1.7004,28.23
5.00,1.0004,0.7809,0.7117,1.7004,28.23
5.02,1.0004,0.7809,0.7117,1.7004,28.23
5.04,1.0004,0.7809,0.7117,1.7004,28.23
5.06,1.0004,0.7809,0.7117,1.7004,28.23
5.08,1.0004,0.7809,0.7117,1.7004,28.23
5.10,1.0004,0.7809,0.7117,1.7004,28.23
5.12,1.0004,0.7809,0.7117,1.7004,28.23
5.14,1.0004,0.7809,0.7117,1.7004,28.23
5.16,1.0004,0.7809,0.7117,1.7004,28.23
5.18,1.0004,0.7809,0.7117,1.7004,28.23
5.20,1.0004,0.7809,0.7117,1.7004,28.23
5.22,1.0004,0.7809,0.7117,1.7004,28.23
5.24,1.0004,0.7809,0.7117,1.7004,28.23
5.26,1.0004,0.7809,0.7117,1.7004,28.23
5.28,1.0004,0.7809,0.7117,1.7004,28.23
5.30,1.0004,0.7809,0.7117,1.7004,28.23
5.32,1.0004,0.7809,0.7117,1.7004,28.23
5.34,1.0004,0.7809,0.7117,1.7004,28.23
5.36,1.0004,0.7809,0.7117,1.7004,28.23
5.38,1.0004,0.7809,0.7117,1.7004,28.23
5.40,1.0004,0.7809,0.7117,1.7004,28.23
5.42,1.0004,0.7809,0.7117,1.7004,28.23
5.44,1.0004,0.7809,0.7117,1.7004,28.23
5.46,1.0004,0.7809,0.7117,1.7004,28.23
5.48,1.0004,0.7809,0.7117,1.7004,28.23
5.50,1.0004,0.7809,0.7117,1.7004,28.23
5.52,1.0004,0.7809,0.7117,1.7004,28.23
5.54,1.0004,0.7809,0.7117,1.7004,28.23
5.56,1.0004,0.7809,0.7117,1.7004,28.23
5.58,1.0004,0.7809,0.7117,1.7004,28.23
5.60,1.0004,0.7809,0.7117,1.7004,28.23
5.62,1.0004,0.7809,0.7117,1.7004,28.23
5.64,1.0004,0.7809,0.7117,1.7004,28.23
5.66,1.0004,0.7809,0.7117,1.7004,28.23
5.68,1.0004,0.7809,0.7117,1.7004,28.23
5.70,1.0004,0.7809,0.7117,1.7004,28.23
5.72,1.0004,0.7809,0.7117,1.7004,28.23
5.74,1.0004,0.7809,0.7117,1.7004,28.23
5.76,1.0004,0.7809,0.7117,1.7004,28.23
5.78,1.0004,0.7809,0.7117,1.7004,28.23
5.80,1.0004,0.7809,0.7117,1.7004,28.23
5.82,1.0004,0.7809,0.7117,1.7004,28.23
5.84,1.0004,0.7809,0.7117,1.7004,28.23
5.86,1.0004,0.7809,0.7117,1.7004,28.23
5.88,1.0004,0.7809,0.7117,1.7004,28.23
5.90,1.0004,0.7809,0.7117,1.7004,28.23
5.92,1.0004,0.7809,0.7117,1.7004,28.23
5.94,1.0004,0.7809,0.7117,1.7004,28.23
5.96,1.0004,0.7809,0.7117,1.7004,28.23
5.98,1.0004,0.7809,0.7117,1.7004,28.23
6.00,1.0004,0.7809,0.7117,1.7004,28.23
6.02,1.0004,0.7809,0.7117,1.7004,28.23
6.04,1.0004,0.7809,0.7117,1.7004,28.23
6.06,1.0004,0.7809,0.7117,1.7004,28.23
6.08,1.0004,0.7809,0.7117,1.7004,28.23
6.10,1.0004,0.7809,0.7117,1.7004,28.23
6.12,1.0004,0.7809,0.7117,1.7004,28.23
6.14,1.0004,0.7809,0.7117,1.7004,28.23
6.16,1.0004,0.7809,0.7117,1.7004,28.23
6.18,1.0004,0.7809,0.7117,1.7004,28.23
6.20,1.0004,0.7809,0.7117,1.7004,28.23
6.22,1.0004,0.7809,0.7117,1.7004,28.23
6.24,1.0004,0.7809,0.7117,1.7004,28.23
6.26,1.0004,0.7809,0.7117,1.7004,28.23
6.28,1.0004,0.7809,0.7117,1.7004,28.23
6.30,1.0004,0.7809,0.7117,1.7004,28.23
6.32,1.0004,0.7809,0.7117,1.7004,28.23
6.34,1.0004,0.7809,0.7117,1.7004,28.23
6.36,1.0004,0.7809,0.7117,1.7004,28.23
6.38,1.0004,0.7809,0.7117,1.7004,28.23
6.40,1.0004,0.7809,0.7117,1.7004,28.23
6.42,1.0004,0.7809,0.7117,1.7004,28.23
6.44,1.0004,0.7809,0.7117,1.7004,28.23
6.46,1.0004,0.7809,0.7117,1.7004,28.23
6.48,1.0004,0.7809,0.7117,1.7004,28.23
6.50,1.0004,0.7809,0.7117,1.7004,28.23
6.52,1.0004,0.7809,0.7117,1.7004,28.23
6.54,1.0004,0.7809,0.7117,1.7004,28.23
6.56,1.0004,0.7809,0.7117,1.7004,28.23
6.58,1.0004,0.7809,0.7117,1.7004,28.23
6.60,1.0004,0.7809,0.7117,1.7004,28.23
6.62,1.0004,0.7809,0.7117,1.7004,28.23
6.64,1.0004,0.7809,0.7117,1.7004,28.23
6.66,1.0004,0.7809,0.7117,1.7004,28.23
6.68,1.0004,0.7809,0.7117,1.7004,28.23
6.70,1.0004,0.7809,0.7117,1.7004,28.23
6.72,1.0004,0.7809,0.7117,1.7004,28.23
6.74,1.0004,0.7809,0.7117,1.7004,28.23
6.76,1.0004,0.7809,0.7117,1.7004,28.23
6.78,1.0004,0.7809,0.7117,1.7004,28.23
6.80,1.0004,0.7809,0.7117,1.7004,28.23
6.82,1.0004,0.7809,0.7117,1.7004,28.23
6.84,1.0004,0.7809,0.7117,1.7004,28.23
6.86,1.0004,0.7809,0.7117,1.7004,28.23
6.88,1.0004,0.7809,0.7117,1.7004,28.23
6.90,1.0004,0.7809,0.7117,1.7004,28.23
6.92,1.0004,0.7809,0.7117,1.7004,28.23
6.94,1.0004,0.7809,0.7117,1.7004,28.23
6.96,1.0004,0.7809,0.7117,1.7004,28.23
6.98,1.0004,0.7809,0.7117,1.7004,28.23
7.00,1.0004,0.7809,0.7117,1.7004,28.23
7.02,1.0004,0.7809,0.7117,1.7004,28.23
7.04,1.0004,0.7809,0.7117,1.7004,28.23
7.06,1.0004,0.7809,0.7117,1.7004,28.23
7.08,1.0004,0.7809,0.7117,1.7004,28.23
7.10,1.0004,0.7809,0.7117,1.7004,28.23
7.12,1.0004,0.7809,0.7117,1.7004,28.23
7.14,1.0004,0.7809,0.7117,1.7004,28.23
7.16,1.0004,0.7809,0.7117,1.7004,28.23
7.18,1.0004,0.7809,0.7117,1.7004,28.23
7.20,1.0004,0.7809,0.7117,1.7004,28.23
7.22,1.0004,0.7809,0.7117,1.7004,28.23
7.24,1.0004,0.7809,0.7117,1.7004,28.23
7.26,1.0004,0.7809,0.7117,1.7004,28.23
7.28,1.0004,0.7809,0.7117,1.7004,28.23
7.30,1.0004,0.7809,0.7117,1.7004,28.23
7.32,1.0004,0.7809,0.7117,1.7004,28.23
7.34,1.0004,0.7809,0.7117,1.7004,28.23
7.36,1.0004,0.7809,0.7117,1.7004,28.23
7.38,1.0004,0.7809,0.7117,1.7004,28.23
7.40,1.0004,0.7809,0.7117,1.7004,28.23
7.42,1.0004,0.7809,0.7117,1.7004,28.23
7.44,1.0004,0.7809,0.7117,1.7004,28.23
7.46,1.0004,0.7809,0.7117,1.7004,28.23
7.48,1.0004,0.7809,0.7117,1.7004,28.23
7.50,1.0004,0.7809,0.7117,1.7004,28.23
7.52,1.0004,0.7809,0.7117,1.7004,28.23
7.54,1.0004,0.7809,0.7117,1.7004,28.23
7.56,1.0004,0.7809,0.7117,1.7004,28.23
7.58,1.0004,0.7809,0.7117,1.7004,28.23
7.60,1.0004,0.7809,0.7117,1.7004,28.23
7.62,1.0004,0.7809,0.7117,1.7004,28.23
7.64,1.0004,0.7809,0.7117,1.7004,28.23
7.66,1.0004,0.7809,0.7117,1.7004,28.23
7.68,1.0004,0.7809,0.7117,1.7004,28.23
7.70,1.0004,0.7809,0.7117,1.7004,28.23
7.72,1.0004,0.7809,0.7117,1.7004,28.23
7.74,1.0004,0.7809,0.7117,1.7004,28.23
7.76,1.0004,0.7809,0.7117,1.7004,28.23
7.78,1.0004,0.7809,0.7117,1.7004,28.23
7.80,1.0004,0.7809,0.7117,1.7004,28.23
7.82,1.0004,0.7809,0.7117,1.7004,28.23
7.84,1.0004,0.7809,0.7117,1.7004,28.23
7.86,1.0004,0.7809,0.7117,1.7004,28.23
7.88,1.0004,0.7809,0.7117,1.7004,28.23
7.90,1.0004,0.7809,0.7117,1.7004,28.23
7.92,1.0004,0.7809,0.7117,1.7004,28.23
7.94,1.0004,0.7809,0.7117,1.7004,28.23
7.96,1.0004,0.7809,0.7117,1.7004,28.23
7.98,1.0004,0.7809,0.7117,1.7004,28.23
8.00,1.0004,0.7809,0.7117,1.7004,28.23
8.02,1.0004,0.7809,0.7117,1.1318,28.08
8.04,1.0004,0.7809,0.7117,1.1318,28.08
8.06,1.0004,0.7809,0.7117,1.1318,28.08
8.08,1.0004,0.7809,0.7117,1.1318,28.08
8.10,1.0004,0.7809,0.7117,1.1318,28.08
8.12,1.0004,0.7809,0.7117,1.1318,28.08
8.14,1.0004,0.7809,0.7117,1.1318,28.08
8.16,1.0004,0.7804,0.7118,1.1318,28.08
8.18,1.0006,0.7806,0.7118,1.1320,28.08
8.20,1.0004,0.7806,0.7117,1.1318,28.08
8.22,1.0008,0.7792,0.7117,1.1322,28.07
8.24,1.0002,0.7792,0.7115,1.1316,28.08
8.26,1.0002,0.7758,0.7115,1.1316,28.08
8.28,1.0015,0.7766,0.7115,1.1328,28.07
8.30,0.9994,0.7766,0.7109,1.1311,28.10
8.32,1.0010,0.7724,0.7099,1.1324,28.08
8.34,0.9974,0.7724,0.7084,1.1292,28.11
8.36,0.9974,0.7647,0.7066,1.1292,28.11
8.38,0.9997,0.7666,0.7066,1.1311,28.07
8.40,0.9944,0.7666,0.7047,1.1264,28.12
8.42,0.9972,0.7592,0.7022,1.1287,28.08
8.44,0.9895,0.7592,0.6993,1.1219,28.14
8.46,0.9895,0.7471,0.6959,1.1219,28.14
8.48,0.9929,0.7504,0.6959,1.1245,28.07
8.50,0.9829,0.7504,0.6917,1.1156,28.14
8.52,0.9870,0.7403,0.6872,1.1188,28.06
8.54,0.9749,0.7403,0.6820,1.1080,28.14
8.56,0.9749,0.7246,0.6767,1.1080,28.14
8.58,0.9795,0.7290,0.6767,1.1115,28.05
8.60,0.9657,0.7290,0.6707,1.0991,28.13
8.62,0.9709,0.7169,0.6642,1.1031,28.02
8.64,0.9554,0.7169,0.6568,1.0890,28.10
8.66,0.9554,0.6982,0.6493,1.0890,28.10
8.68,0.9611,0.7040,0.6493,1.0934,27.98
8.70,0.9440,0.7040,0.6411,1.0777,28.05
8.72,0.9502,0.6901,0.6324,1.0826,27.93
8.74,0.9320,0.6901,0.6235,1.0660,28.01
8.76,0.9320,0.6691,0.6138,1.0660,28.01
8.78,0.9389,0.6754,0.6138,1.0714,27.88
8.80,0.9194,0.6754,0.6036,1.0533,27.93
8.82,0.9264,0.6605,0.5924,1.0587,27.79
8.84,0.9060,0.6605,0.5808,1.0394,27.80
8.86,0.9060,0.6380,0.5684,1.0394,27.80
8.88,0.9136,0.6451,0.5684,1.0454,27.66
8.90,0.8922,0.6451,0.5557,1.0250,27.65
8.92,0.9002,0.6300,0.5422,1.0312,27.50
8.94,0.8780,0.6300,0.5289,1.0100,27.48
8.96,0.8780,0.6065,0.5140,1.0100,27.48
8.98,0.8861,0.6144,0.5140,1.0163,27.31
9.00,0.8634,0.6144,0.4995,0.9942,27.26
9.02,0.8715,0.5989,0.4835,1.0005,27.10
9.04,0.8483,0.5989,0.4678,0.9776,26.99
9.06,0.8483,0.5753,0.4503,0.9776,26.99
9.08,0.8567,0.5833,0.4503,0.9842,26.83
9.10,0.8333,0.5833,0.4339,0.9609,26.70
9.12,0.8419,0.5685,0.4155,0.9675,26.53
9.14,0.8182,0.5685,0.3983,0.9437,26.37
9.16,0.8182,0.5454,0.3787,0.9437,26.37
9.18,0.8270,0.5541,0.3787,0.9505,26.19
9.20,0.8033,0.5541,0.3608,0.9263,25.98
9.22,0.8121,0.5404,0.3400,0.9331,25.81
9.24,0.7881,0.5404,0.3213,0.9084,25.57
9.26,0.7881,0.5183,0.2995,0.9084,25.57
9.28,0.7970,0.5270,0.2995,0.9153,25.40
9.30,0.7731,0.5270,0.2801,0.8902,25.11
9.32,0.7821,0.5153,0.2575,0.8972,24.93
9.34,0.7583,0.5153,0.2376,0.8720,24.61
9.36,0.7583,0.4957,0.2144,0.8720,24.61
9.38,0.7673,0.5049,0.2144,0.8790,24.42
9.40,0.7436,0.5049,0.1948,0.8539,24.10
9.42,0.7526,0.4956,0.1708,0.8609,23.93
9.44,0.7289,0.4956,0.1538,0.8368,23.71
9.46,0.7289,0.4785,0.1297,0.8368,23.71
9.48,0.7381,0.4878,0.1297,0.8441,23.54
9.50,0.7140,0.4878,0.1142,0.8201,23.40
9.52,0.7232,0.4815,0.0890,0.8273,23.22
9.54,0.6988,0.4815,0.0771,0.8044,23.24
9.56,0.6988,0.4663,0.0518,0.8044,23.24
9.58,0.7081,0.4757,0.0518,0.8118,23.07
9.60,0.6835,0.4757,0.0427,0.7898,23.20
9.62,0.6928,0.4692,0.0185,0.7971,23.03
9.64,0.6686,0.4692,0.0122,0.7765,23.28
9.66,0.6686,0.4529,0.0114,0.7765,23.28
9.68,0.6778,0.4622,0.0114,0.7837,23.11
9.70,0.6538,0.4622,0.0157,0.7641,23.44
9.72,0.6627,0.4531,0.0377,0.7708,23.26
9.74,0.6390,0.4531,0.0409,0.7519,23.62
9.76,0.6390,0.4334,0.0616,0.7519,23.62
9.78,0.6480,0.4428,0.0616,0.7587,23.44
9.80,0.6242,0.4428,0.0646,0.7399,23.81
9.82,0.6331,0.4300,0.0834,0.7465,23.63
9.84,0.6092,0.4300,0.0878,0.7271,23.93
9.86,0.6092,0.4077,0.1060,0.7271,23.93
